Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
2,-,DNB,-,-,1,0,,T20I v Ireland,Dublin (Malahide),27-Jun-18,T20I # 678,T20I, Ireland
1,9,-,-,-,-,-,,T20I v Ireland,Dublin (Malahide),29-Jun-18,T20I # 680,T20I, Ireland
2,-,DNB,-,-,0,0,,T20I v Ireland,Dublin (Malahide),29-Jun-18,T20I # 680,T20I, Ireland
1,-,DNB,-,-,2,0,,T20I v England,Manchester,03-Jul-18,T20I # 684,T20I, England
2,20*,-,-,-,-,-,,T20I v England,Manchester,03-Jul-18,T20I # 684,T20I, England
1,47,-,-,-,-,-,,T20I v England,Cardiff,06-Jul-18,T20I # 688,T20I, England
2,-,DNB,-,-,1,0,,T20I v England,Cardiff,06-Jul-18,T20I # 688,T20I, England
1,-,DNB,-,-,1,0,,T20I v England,Bristol,08-Jul-18,T20I # 690,T20I, England
2,43,-,-,-,-,-,,T20I v England,Bristol,08-Jul-18,T20I # 690,T20I, England
1,-,DNB,-,-,1,0,,ODI v England,Nottingham,12-Jul-18,ODI # 4014,ODI ,England
2,75,-,-,-,-,-,,ODI v England,Nottingham,12-Jul-18,ODI # 4014,ODI ,England
1,-,DNB,-,-,0,0,,ODI v England,Lord's,14-Jul-18,ODI # 4016,ODI ,England
2,45,-,-,-,-,-,,ODI v England,Lord's,14-Jul-18,ODI # 4016,ODI ,England
1,71,-,-,-,-,-,,ODI v England,Leeds,17-Jul-18,ODI # 4018,ODI ,England
2,-,DNB,-,-,0,0,,ODI v England,Leeds,17-Jul-18,ODI # 4018,ODI ,England
1,-,DNB,-,-,0,0,,Test v England,Birmingham,01-Aug-18,Test # 2314,Test, England
