Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
2,44,-,-,-,-,-,,Test v West Indies,Kingston,30-Jul-16,Test # 2211,Test, West Indies
3,-,DNB,-,-,0,0,,Test v West Indies,Kingston,30-Jul-16,Test # 2211,Test, West Indies
1,3,-,-,-,-,-,,Test v West Indies,Gros Islet,09-Aug-16,Test # 2215,Test, West Indies
2,-,DNB,-,-,1,0,,Test v West Indies,Gros Islet,09-Aug-16,Test # 2215,Test, West Indies
3,4,-,-,-,-,-,,Test v West Indies,Gros Islet,09-Aug-16,Test # 2215,Test, West Indies
4,-,DNB,-,-,1,0,,Test v West Indies,Gros Islet,09-Aug-16,Test # 2215,Test, West Indies
0,TDNB,-,-,-,-,-,,Test v West Indies,Port of Spain,18-Aug-16,Test # 2218,Test, West Indies
1,-,DNB,-,-,0,0,,Test v West Indies,Port of Spain,18-Aug-16,Test # 2218,Test, West Indies
1,-,DNB,-,-,0,0,,T20I v West Indies,Lauderhill,27-Aug-16,T20I # 562,T20I, West Indies
2,16,-,-,-,-,-,,T20I v West Indies,Lauderhill,27-Aug-16,T20I # 562,T20I, West Indies
1,-,DNB,-,-,1,0,,T20I v West Indies,Lauderhill,28-Aug-16,T20I # 563,T20I, West Indies
2,DNB,-,-,-,-,-,,T20I v West Indies,Lauderhill,28-Aug-16,T20I # 563,T20I, West Indies
1,9,-,-,-,-,-,,Test v New Zealand,Kanpur,22-Sep-16,Test # 2221,Test, New Zealand
2,-,DNB,-,-,0,0,,Test v New Zealand,Kanpur,22-Sep-16,Test # 2221,Test, New Zealand
3,18,-,-,-,-,-,,Test v New Zealand,Kanpur,22-Sep-16,Test # 2221,Test, New Zealand
4,-,DNB,-,-,0,0,,Test v New Zealand,Kanpur,22-Sep-16,Test # 2221,Test, New Zealand
1,9,-,-,-,-,-,,Test v New Zealand,Eden Gardens,30-Sep-16,Test # 2222,Test, New Zealand
2,-,DNB,-,-,0,0,,Test v New Zealand,Eden Gardens,30-Sep-16,Test # 2222,Test, New Zealand
3,45,-,-,-,-,-,,Test v New Zealand,Eden Gardens,30-Sep-16,Test # 2222,Test, New Zealand
4,-,DNB,-,-,1,0,,Test v New Zealand,Eden Gardens,30-Sep-16,Test # 2222,Test, New Zealand
1,211,-,-,-,-,-,,Test v New Zealand,Indore,08-Oct-16,Test # 2223,Test, New Zealand
2,-,DNB,-,-,1,0,,Test v New Zealand,Indore,08-Oct-16,Test # 2223,Test, New Zealand
3,17,-,-,-,-,-,,Test v New Zealand,Indore,08-Oct-16,Test # 2223,Test, New Zealand
